127.0.0.1, 2018-06-28 14:00:43, GET, /admin/static/_2.16.1/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.029000
127.0.0.1, 2018-06-28 14:00:43, GET, /admin/static/_2.16.1/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.026000
127.0.0.1, 2018-06-28 14:00:43, GET, /admin/static/_2.16.1/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.014000
127.0.0.1, 2018-06-28 14:00:43, GET, /admin/static/_2.16.1/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-06-28 14:00:43, GET, /admin/static/_2.16.1/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-06-28 14:00:43, GET, /admin/static/_2.16.1/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.057000
127.0.0.1, 2018-06-28 14:00:43, GET, /admin/static/_2.16.1/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.055000
127.0.0.1, 2018-06-28 14:00:43, GET, /admin/static/_2.16.1/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-06-28 14:00:43, GET, /admin/static/_2.16.1/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-06-28 14:00:43, GET, /admin/static/_2.16.1/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.013000
127.0.0.1, 2018-06-28 14:00:43, GET, /admin/static/_2.16.1/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-06-28 14:00:43, GET, /admin/static/_2.16.1/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-06-28 14:00:43, GET, /admin/static/_2.16.1/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.007000
000
127.0.0.1, 2018-06-28 14:00:43, GET, /admin/static/_2.16.1/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.013000
127.0.0.1, 2018-06-28 14:00:43, GET, /admin/static/_2.16.1/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.004000
000
127.0.0.1, 2018-06-28 14:00:43, GET, /admin/static/_2.16.1/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-06-28 14:00:43, GET, /admin/static/_2.16.1/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-06-28 14:00:43, GET, /admin/static/_2.16.1/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.011000
127.0.0.1, 2018-06-28 14:00:44, GET, /admin/static/_2.16.1/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-06-28 14:00:44, GET, /admin/static/_2.16.1/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-06-28 14:00:44, GET, /admin/static/_2.16.1/codemirror/emmet.min.js, HTTP/1.1, 200, 0.003000
0, 0.009000
127.0.0.1, 2018-06-28 14:00:44, GET, /admin/static/_2.16.1/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.010000

127.0.0.1, 2018-06-28 14:00:44, GET, /admin/static/_2.16.1/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.015000
127.0.0.1, 2018-06-28 14:00:44, GET, /admin/static/_2.16.1/js/ajax_editor.js, HTTP/1.1, 200, 0.003000
0, 0.002000
127.0.0.1, 2018-06-28 14:00:44, GET, /admin/static/_2.16.1/css/web2py-codemirror.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-06-28 14:00:44, GET, /admin/static/_2.16.1/js/typeahead.min.js, HTTP/1.1, 200, 0.015000
127.0.0.1, 2018-06-28 14:00:44, GET, /admin/static/_2.16.1/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.012000
127.0.0.1, 2018-06-28 14:00:44, GET, /admin/static/_2.16.1/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-06-28 14:00:44, GET, /admin/static/_2.16.1/images/files_toggle.png, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-06-28 14:00:44, GET, /admin/default/edit/resttest2/controllers/default.py, HTTP/1.1, 200, 0.152000
127.0.0.1, 2018-06-28 14:00:45, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.147000
127.0.0.1, 2018-06-28 14:00:45, GET, /admin/static/_2.16.1/images/save_icon.png, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-06-28 14:00:45, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.242000
127.0.0.1, 2018-06-28 14:00:45, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.379000
127.0.0.1, 2018-06-28 14:00:45, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.580000
127.0.0.1, 2018-06-28 14:00:49, GET, /resttest2/appadmin/hooks, HTTP/1.1, 500, 5.091000
127.0.0.1, 2018-06-28 14:01:29, GET, /admin/default/edit/resttest2/models/db.py, HTTP/1.1, 200, 0.043000
127.0.0.1, 2018-06-28 14:01:29, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.026000
127.0.0.1, 2018-06-28 14:01:44, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.045000
127.0.0.1, 2018-06-28 14:01:50, GET, /resttest2/appadmin/hooks, HTTP/1.1, 500, 5.229000
127.0.0.1, 2018-06-28 14:01:54, POST, /admin/default/edit/resttest2/models/db.py, HTTP/1.1, 200, 0.096000
127.0.0.1, 2018-06-28 14:02:44, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.051000
127.0.0.1, 2018-06-28 14:02:45, GET, /resttest2/appadmin/hooks, HTTP/1.1, 200, 0.462000
127.0.0.1, 2018-06-28 14:03:44, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.052000
127.0.0.1, 2018-06-28 14:03:45, GET, /resttest2/appadmin/hooks, HTTP/1.1, 200, 0.448000
127.0.0.1, 2018-06-28 14:04:44, GET, /resttest2/default/api/reqs, HTTP/1.1, 500, 2.048000
127.0.0.1, 2018-06-28 14:04:44, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.077000
127.0.0.1, 2018-06-28 14:04:45, GET, /resttest2/appadmin/hooks, HTTP/1.1, 200, 0.461000
127.0.0.1, 2018-06-28 14:04:47, GET, /admin/default/errors/resttest2, HTTP/1.1, 200, 0.093000
127.0.0.1, 2018-06-28 14:04:48, GET, /admin/default/site, HTTP/1.1, 200, 0.097000
127.0.0.1, 2018-06-28 14:04:52, GET, /resttest2/default/index, HTTP/1.1, 500, 0.512000
127.0.0.1, 2018-06-28 14:04:54, GET, /admin/default/ticket/resttest2/127.0.0.1.2018-06-28.14-04-51.1e765e50-5f1e-48ef-8363-bbf436cfff9b, HTTP/1.1, 200, 0.082000
127.0.0.1, 2018-06-28 14:05:28, GET, /admin/default/ticket/resttest2/127.0.0.1.2018-06-28.14-04-51.1e765e50-5f1e-48ef-8363-bbf436cfff9b, HTTP/1.1, 200, 0.197000
127.0.0.1, 2018-06-28 14:05:34, GET, /resttest2/default/index, HTTP/1.1, 200, 2.609000
127.0.0.1, 2018-06-28 14:05:35, GET, /resttest2/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-06-28 14:05:35, GET, /resttest2/static/js/calendar.js, HTTP/1.1, 200, 0.005000

127.0.0.1, 2018-06-28 14:05:35, GET, /resttest2/static/js/jquery.js, HTTP/1.1, 200, 0.010000
127.0.0.1, 2018-06-28 14:05:35, GET, /resttest2/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.011000
127.0.0.1, 2018-06-28 14:05:35, GET, /resttest2/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.009000
127.0.0.1, 2018-06-28 14:05:35, GET, /resttest2/static/js/web2py.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-06-28 14:05:35, GET, /resttest2/static/js/share.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-06-28 14:05:35, GET, /resttest2/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.016000
127.0.0.1, 2018-06-28 14:05:35, GET, /resttest2/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.014000
127.0.0.1, 2018-06-28 14:05:35, GET, /resttest2/static/images/favicon.ico, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-06-28 14:05:35, GET, /resttest2/static/images/facebook.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-06-28 14:05:35, GET, /resttest2/static/images/gplus-32.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-06-28 14:05:35, GET, /resttest2/static/images/twitter.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-06-28 14:05:44, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.043000
127.0.0.1, 2018-06-28 14:05:46, GET, /resttest2/appadmin/hooks, HTTP/1.1, 200, 0.453000
127.0.0.1, 2018-06-28 14:06:02, GET, /resttest2/default/index, HTTP/1.1, 200, 0.136000
127.0.0.1, 2018-06-28 14:06:02, GET, /resttest2/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2018-06-28 14:06:02, GET, /resttest2/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2018-06-28 14:06:02, GET, /resttest2/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 14:06:02, GET, /resttest2/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2018-06-28 14:06:02, GET, /resttest2/static/js/calendar.js, HTTP/1.1, 304, 0.017000
127.0.0.1, 2018-06-28 14:06:02, GET, /resttest2/static/js/web2py.js, HTTP/1.1, 304, 0.022000
127.0.0.1, 2018-06-28 14:06:02, GET, /resttest2/static/js/share.js, HTTP/1.1, 304, 0.005000
127.0.0.1, 2018-06-28 14:06:02, GET, /resttest2/static/css/calendar.css, HTTP/1.1, 304, 0.025000
127.0.0.1, 2018-06-28 14:06:02, GET, /resttest2/static/js/jquery.js, HTTP/1.1, 304, 0.027000
127.0.0.1, 2018-06-28 14:06:02, GET, /resttest2/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.092000
127.0.0.1, 2018-06-28 14:06:02, GET, /resttest2/static/images/twitter.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2018-06-28 14:06:02, GET, /resttest2/static/images/facebook.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2018-06-28 14:06:02, GET, /resttest2/static/images/gplus-32.png, HTTP/1.1, 304, 0.003000
127.0.0.1, 2018-06-28 14:06:07, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2018-06-28 14:06:07, GET, /welcome/default/index, HTTP/1.1, 404, 0.000000
127.0.0.1, 2018-06-28 14:06:44, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.040000
127.0.0.1, 2018-06-28 14:06:46, GET, /resttest2/appadmin/hooks, HTTP/1.1, 200, 0.420000
127.0.0.1, 2018-06-28 14:07:44, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.049000
127.0.0.1, 2018-06-28 14:07:45, GET, /resttest2/appadmin/hooks, HTTP/1.1, 200, 0.094000
127.0.0.1, 2018-06-28 14:08:44, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.057000
127.0.0.1, 2018-06-28 14:08:45, GET, /resttest2/appadmin/hooks, HTTP/1.1, 200, 0.091000
127.0.0.1, 2018-06-28 14:09:44, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.046000
127.0.0.1, 2018-06-28 14:09:45, GET, /resttest2/appadmin/hooks, HTTP/1.1, 200, 0.095000
127.0.0.1, 2018-06-28 14:10:44, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.049000
127.0.0.1, 2018-06-28 14:10:45, GET, /resttest2/appadmin/hooks, HTTP/1.1, 200, 0.093000
127.0.0.1, 2018-06-28 14:11:31, GET, /admin/default/ticket/resttest2/127.0.0.1.2018-06-28.14-04-51.1e765e50-5f1e-48ef-8363-bbf436cfff9b, HTTP/1.1, 200, 0.202000
127.0.0.1, 2018-06-28 14:11:36, GET, /admin/default/site, HTTP/1.1, 200, 0.161000
127.0.0.1, 2018-06-28 14:11:36, GET, /admin/static/_2.16.1/images/questions.png, HTTP/1.1, 200, 0.034000
127.0.0.1, 2018-06-28 14:11:37, GET, /admin/static/_2.16.1/images/folder.png, HTTP/1.1, 200, 0.015000
127.0.0.1, 2018-06-28 14:11:37, GET, /admin/static/_2.16.1/images/folder_locked.png, HTTP/1.1, 200, 0.017000
127.0.0.1, 2018-06-28 14:11:37, GET, /admin/static/_2.16.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-06-28 14:11:44, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.051000
127.0.0.1, 2018-06-28 14:11:45, GET, /resttest2/appadmin/hooks, HTTP/1.1, 200, 0.107000
127.0.0.1, 2018-06-28 14:11:56, GET, /resttest2/default/index, HTTP/1.1, 200, 0.527000
127.0.0.1, 2018-06-28 14:12:09, GET, /admin/default/design/resttest2, HTTP/1.1, 200, 1.474000
127.0.0.1, 2018-06-28 14:12:31, GET, /admin/default/edit/resttest2/cron/crontab, HTTP/1.1, 200, 0.148000
127.0.0.1, 2018-06-28 14:12:31, GET, /admin/static/_2.16.1/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.009000
127.0.0.1, 2018-06-28 14:12:31, GET, /admin/static/_2.16.1/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-06-28 14:12:31, GET, /admin/static/_2.16.1/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.020000
127.0.0.1, 2018-06-28 14:12:31, GET, /admin/static/_2.16.1/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.014000
127.0.0.1, 2018-06-28 14:12:31, GET, /admin/static/_2.16.1/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.020000
127.0.0.1, 2018-06-28 14:12:31, GET, /admin/static/_2.16.1/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.019000
127.0.0.1, 2018-06-28 14:12:31, GET, /admin/static/_2.16.1/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.019000
127.0.0.1, 2018-06-28 14:12:31, GET, /admin/static/_2.16.1/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.019000
127.0.0.1, 2018-06-28 14:12:31, GET, /admin/static/_2.16.1/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-06-28 14:12:31, GET, /admin/static/_2.16.1/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-06-28 14:12:31, GET, /admin/static/_2.16.1/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-06-28 14:12:31, GET, /admin/static/_2.16.1/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-06-28 14:12:31, GET, /admin/static/_2.16.1/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.014000
127.0.0.1, 2018-06-28 14:12:31, GET, /admin/static/_2.16.1/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.018000
127.0.0.1, 2018-06-28 14:12:31, GET, /admin/static/_2.16.1/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.019000
127.0.0.1, 2018-06-28 14:12:31, GET, /admin/static/_2.16.1/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.028000
127.0.0.1, 2018-06-28 14:12:31, GET, /admin/static/_2.16.1/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.011000
127.0.0.1, 2018-06-28 14:12:31, GET, /admin/static/_2.16.1/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.028000
127.0.0.1, 2018-06-28 14:12:31, GET, /admin/static/_2.16.1/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-06-28 14:12:31, GET, /admin/static/_2.16.1/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.030000
127.0.0.1, 2018-06-28 14:12:31, GET, /admin/static/_2.16.1/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.018000
127.0.0.1, 2018-06-28 14:12:31, GET, /admin/static/_2.16.1/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.017000
127.0.0.1, 2018-06-28 14:12:31, GET, /admin/static/_2.16.1/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.016000
127.0.0.1, 2018-06-28 14:12:31, GET, /admin/static/_2.16.1/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.011000
